participant;gender;educational_background;word;position_inside_the_word;preceding_vowel;word_category;F3 Midpoint;F4 Midpoint;F3 Average;F4 Average
pr05;woman;doctor;puerta;internal ;e;noun;2892.1229033358127;4397.415249645691;2774.6996536486586;4390.5169554386985
pr05;woman;doctor;llegar;final;a;verb;2792.614187787988;3911.115474690053;2570.807473243789;3655.9297779205053
pr05;woman;doctor;york ;final;o;noun;2732.1930697981165;3436.3487707251793;2683.3227326422884;3745.3998341083884
pr05;woman;doctor;invierno;internal ;e;noun;3032.9749464458073;3228.958528684995;3039.8861285174175;3509.028337853087
pr05;woman;doctor;fuerte ;internal ;e;adjective;3145.223024931854;4564.127056375477;3109.3595337662873;4499.976726757744
pr05;woman;doctor;intimidar;final;a;verb;3054.4100698889806;4186.35185473422;2748.129819323087;4113.378083831924
pr05;woman;doctor;mejor;final;o;adjective;1920.7122428716252;2974.712354543839;2137.764303830676;3264.406768495729
pr05;woman;doctor;puertorriqueños;internal ;e;noun;2667.3554043321587;4276.960158920518;2857.1627920468045;4447.807127770856
pr05;woman;doctor;estar;final;a;verb;2013.0937253943655;3352.1057140934636;2179.8977321455695;3151.553909363074
pr05;woman;doctor;cierta;internal ;e;adjective;2488.8679883154177;3041.2990504765908;2664.2973795969624;3046.423672014762
pr05;woman;doctor;fuerte ;internal ;e;adjective;2553.513955988816;4421.639188704936;2827.5226020209707;4392.193304598353
pr05;woman;doctor;mar;final;a;noun;2773.1092625061456;4502.005599620203;2569.1893926535204;4231.385720033096
pr05;woman;doctor;calor;final;o;noun;2908.0303203032854;4246.151197259086;2821.1684359900705;3476.5368301879716
pr05;woman;doctor;detenerse;internal ;e;verb;2568.365515788178;3847.5825594655985;2591.665779448747;3971.475543504299
pr05;woman;doctor;por;final;o;preposition;2823.0742944406134;3472.3364788445083;2824.5277460095062;3463.401677368816
pr05;woman;doctor;puertas;internal ;e;noun;1927.7003940091051;3183.4369432325843;2706.324795412035;4330.956614669793
pr05;woman;doctor;poder;final;e;verb;1825.9390291128302;3016.2988422851413;2158.0492739745077;3420.679289852627
pr05;woman;doctor;ganar;final;a;verb;2210.7139901239448;2924.5785567206153;2299.161414097918;3049.580345991339
pr05;woman;doctor;enviar;final;a;verb;2783.9759858180882;2900.5824803563555;2689.1035603806645;3392.396704730295
pr05;woman;doctor;largas;internal ;a;adjective;2887.057579366153;4763.892815122096;2738.362380413807;4377.100752688738
pr05;woman;doctor;descargando;internal ;a;verb;1989.658669741557;3075.1048313792016;2038.3941782473166;3000.7565397682256
pr05;woman;doctor;mejor;final;o;adjective;2302.2875920775127;4324.364839953732;2317.9235451312393;4167.18442400657
pr06;man;master;york ;final;o;noun;1959.3362636051736;3349.953146558973;2024.0048381763957;3263.2920423678797
pr06;man;master;puerto;internal ;e;noun;1572.9987457635941;3532.843303544856;1858.011993337111;3617.376100027604
pr06;man;master;hablar;final;a;verb;2170.567379455833;3750.5043158686995;2041.57004085408;2818.190963601772
pr06;man;master;oportunidades;internal ;o;noun;2060.5142586608968;3381.46656967089;1951.4456390305158;3115.7367313809996
pr06;man;master;lugar;final;a;noun;2060.8112859581297;3182.2142470310046;2059.923257461521;3213.350247166641
pr06;man;master;prosperar;final;a;verb;1934.5788518306342;3699.401617964531;2121.3237914378324;3626.054333807083
pr06;man;master;puerto;internal ;e;noun;1979.1708313316976;3322.037028552855;2005.8685732429503;3399.47548846728
pr06;man;master;buscar;final;a;verb;2141.4805783948154;3530.9000969578046;2137.9026064534646;3517.004226183651
pr06;man;master;puerta;internal ;e;noun;2102.709581593621;3603.2159487169297;2081.0416275675802;3578.112532809061
pr06;man;master;llegar;final;a;verb;2226.0182675838255;3374.3440533555313;2218.917784535948;3319.614511009877
pr06;man;master;york ;final;o;noun;1872.1010139858274;2772.1484437440963;1889.1667627773834;2799.8352062531844
pr06;man;master;invierno;internal ;e;noun;2031.751965423583;3440.4606576125825;2064.5814184453766;3421.0848978997765
pr06;man;master;fuerte ;internal ;e;adjective;2165.2420669177163;3659.2748893549415;1984.9102871236405;3574.7401917822635
pr06;man;master;intimidar;final;a;verb;2001.0565130064015;3434.0048669594407;2102.1984506907097;3543.260140683187
pr06;man;master;mejor;final;o;adjective;1669.2259665387262;3551.002888160822;1750.1262913799003;3602.924601631105
pr06;man;master;puertorriqueños;internal ;e;noun;2364.3679129166026;3778.5708776958304;1982.4225417376126;3408.979339298768
pr06;man;master;estar;final;a;verb;2127.741135411257;3544.4905803746183;2121.0835833506344;3368.47861361823
pr06;man;master;cierta;internal ;e;adjective;2203.685255280156;3603.43003801891;2263.1308173165653;3449.4517120019286
pr06;man;master;fuerte ;internal ;e;adjective;2017.2991864420976;3678.3514395780417;2030.9775269479937;3654.4795634434568
pr06;man;master;mar;final;a;noun;2048.263408500287;3339.9518840301507;2064.07158200019;3235.9493417490985
pr06;man;master;calor;final;o;noun;2216.798347738844;3329.1855837529397;2217.419763368779;3023.171170739891
pr06;man;master;detenerse;internal ;e;verb;2340.2944108788406;3547.26888863923;2269.300164590646;3468.1105894404022
pr06;man;master;por;final;o;preposition;2149.6275740037127;3293.23100509688;2159.803161439365;3208.6694694971775
pr06;man;master;puertas;internal ;e;noun;2235.449933646752;3483.0148737495983;2059.9917584947234;3442.488726435803
pr06;man;master;poder;final;e;verb;2201.3553881975868;3497.396979003915;2197.872449672605;3099.769298826545
pr06;man;master;ganar;final;a;verb;2185.530139039188;2940.1378688656864;2213.943931538901;3216.379371762928
pr06;man;master;enviar;final;a;verb;2285.5033386392256;3616.683566268212;2242.7970645999685;3217.0286099221694
pr06;man;master;largas;internal ;a;adjective;1956.2071146404703;2739.0754826743346;2137.615655070699;3395.214353214374
pr06;man;master;descargando;internal ;a;verb;2102.2158895972634;2906.0643670103514;2110.558809727837;2893.458182811454
pr06;man;master;mejor;final;o;adjective;2343.559461724666;3917.621812416703;2345.3991563701343;3877.1699414261
pr07;woman;doctor;york ;final;o;noun;1946.7391255794073;3705.694930154272;1961.6436825726455;3692.7693148753992
pr07;woman;doctor;puerto;internal ;e;noun;2404.7476966223358;3989.2050481544957;2611.8041366170546;4037.103558780394
pr07;woman;doctor;hablar;final;a;verb;2402.7184554007736;4069.3694551602784;2403.110886269631;4032.378092101141
pr07;woman;doctor;oportunidades;internal ;o;noun;2332.8575962873847;3803.815334385807;2460.185967697664;3916.8116978899734
pr07;woman;doctor;lugar;final;a;noun;1930.018275726636;3512.3589840665386;1986.3385563797517;3507.765441801835
pr07;woman;doctor;prosperar;final;a;verb;1881.2788943475998;3534.854988489224;2024.9654360598117;3601.791022537806
pr07;woman;doctor;puerto;internal ;e;noun;3814.4674967298815;4908.148060347705;3213.864136711575;4542.2972610226225
pr07;woman;doctor;buscar;final;a;verb;2262.96023307299;3558.6398859432584;2271.240695319188;3624.608389398963
pr07;woman;doctor;puerta;internal ;e;noun;2228.225000380694;4080.190666890607;2282.006681057543;3893.4220349391803
pr07;woman;doctor;llegar;final;a;verb;2435.485376270964;3506.3882077698513;2394.850982368199;3530.8835152268534
pr07;woman;doctor;york ;final;o;noun;2207.671817405371;3469.8408229945776;2201.685484277902;3497.1845360358934
pr07;woman;doctor;invierno;internal ;e;noun;2095.6335876717512;3162.8188175570895;2216.9130553664977;3143.050880992453
pr07;woman;doctor;fuerte ;internal ;e;adjective;2702.0933753388126;3860.59948329822;2674.8348380715006;3773.9486835013013
pr07;woman;doctor;intimidar;final;a;verb;2173.658311476494;3558.940222122805;2219.3607396381126;3567.5285893543705
pr07;woman;doctor;mejor;final;o;adjective;2064.032243412693;2876.304909401148;2060.69034237967;3190.521229064611
pr07;woman;doctor;puertorriqueños;internal ;e;noun;2195.738025729434;3747.590679429841;2469.7293061523687;4061.185348230524
pr07;woman;doctor;estar;final;a;verb;2824.2004251399776;3639.865190778791;2734.671804176095;3645.0183847649873
pr07;woman;doctor;cierta;internal ;e;adjective;2189.934948685418;3728.1197340751924;2426.794850586169;3839.7135490365113
pr07;woman;doctor;fuerte ;internal ;e;adjective;2477.1777638353965;4037.6938121457865;2577.227562700571;3989.4946460329334
pr07;woman;doctor;mar;final;a;noun;2024.336470116137;3996.126841755098;2241.9338737671383;3767.8440067385654
pr07;woman;doctor;calor;final;o;noun;2223.633313292242;3508.5449760799324;2291.7144734604976;3486.604228262686
pr07;woman;doctor;detenerse;internal ;e;verb;2057.246432889712;3585.5276438891315;2390.4794068335405;3614.265077956677
pr07;woman;doctor;por;final;o;preposition;1935.0772932311304;3692.215765930941;1940.4205396332254;3700.8379699815114
pr07;woman;doctor;puertas;internal ;e;noun;2103.2369436496506;3406.4603240746756;2205.932904186584;4073.308733073304
pr07;woman;doctor;poder;final;e;verb;2303.1990615821605;3703.3260793903587;2354.044125639696;3771.729140521801
pr07;woman;doctor;ganar;final;a;verb;2656.197259031558;3837.51003087814;2629.6398519193503;3869.006475749104
pr07;woman;doctor;enviar;final;a;verb;2442.596188292717;3707.943268096614;2442.5574690330245;3767.8493254155755
pr07;woman;doctor;largas;internal ;a;adjective;2369.458993841225;3993.32775861488;2249.943793208657;3841.0005532531577
pr07;woman;doctor;descargando;internal ;a;verb;2189.155251963983;3649.9319425221856;2163.0743648497337;3743.9270094040276
pr07;woman;doctor;mejor;final;o;adjective;2836.449730058771;4564.75996298595;2137.800483486182;3813.752288411169
pr08;man;bachelor;york ;final;o;noun;1790.3838171215423;2937.0918310192415;1758.6559645747245;2777.354722163362
pr08;man;bachelor;puerto;internal ;e;noun;2822.347815164869;3536.8098333072294;2515.557341558952;3395.3731483562633
pr08;man;bachelor;hablar;final;a;verb;1924.2404456101194;3116.0735762109275;2165.8810466173777;3318.552206662822
pr08;man;bachelor;oportunidades;internal ;o;noun;2201.849623347121;3307.1137296688667;2334.260416026677;3411.868805933027
pr08;man;bachelor;lugar;final;a;noun;1819.9287035731745;3626.952045105799;2150.0436329655768;3497.4406773074234
pr08;man;bachelor;prosperar;final;a;verb;2423.9574260253426;3313.8296595876213;2363.289427343439;3337.2527723210706
pr08;man;bachelor;puerto;internal ;e;noun;2110.2474507257566;3350.487786002693;2099.5392247609234;3389.8512111310965
pr08;man;bachelor;buscar;final;a;verb;2124.466178825053;3079.046821676955;2172.520804277148;3094.121420996414
pr08;man;bachelor;puerta;internal ;e;noun;2485.176901067208;3710.4037552684213;2472.9467222676503;3574.6131942169104
pr08;man;bachelor;llegar;final;a;verb;2404.9276767518154;3317.1750826801817;2317.7989031248635;2890.1392799574573
pr08;man;bachelor;york ;final;o;noun;1816.9171484911453;2987.9950854423823;1844.9031392784693;3135.29250485097
pr08;man;bachelor;invierno;internal ;e;noun;2248.791799121378;3408.0001047543974;2246.6827597952642;3076.301756386366
pr08;man;bachelor;fuerte ;internal ;e;adjective;2348.9498203801486;3549.9909589370627;2313.9728340438837;3525.850339287231
pr08;man;bachelor;intimidar;final;a;verb;2089.8513209393104;2917.2733198329042;2169.165894454974;3089.6070872150353
pr08;man;bachelor;mejor;final;o;adjective;2285.0149218714114;3591.395432464421;2113.0103232376696;3429.640231368102
pr08;man;bachelor;puertorriqueños;internal ;e;noun;1900.7059330547108;3306.429342981467;2245.5247744138514;3544.045027035779
pr08;man;bachelor;estar;final;a;verb;2363.7778112011156;3473.217737972854;2324.2535312872546;2860.409084005939
pr08;man;bachelor;cierta;internal ;e;adjective;2502.4309092693206;3359.32483019;2639.9566260596757;3328.312706370993
pr08;man;bachelor;fuerte ;internal ;e;adjective;1820.4640494229109;2612.042907234676;1840.1392674031513;2739.3429751204585
pr08;man;bachelor;mar;final;a;noun;2290.8616766430287;3175.1351217559054;2198.3554108400776;3106.67719965942
pr08;man;bachelor;calor;final;o;noun;2149.4155782054013;3298.2179054239587;2125.6693454398574;3177.137309368242
pr08;man;bachelor;detenerse;internal ;e;verb;2342.4819427706657;3140.44581153615;2429.139183563218;3383.23734654346
pr08;man;bachelor;por;final;o;preposition;2237.48376926415;2862.9008968088087;2213.134184057303;2886.847610058879
pr08;man;bachelor;puertas;internal ;e;noun;2218.9004242173914;3116.8752772656976;2133.7605619137316;3083.518373218618
pr08;man;bachelor;poder;final;e;verb;2007.029525174335;3221.1514091462495;1994.7163943310782;3152.786105481907
pr08;man;bachelor;ganar;final;a;verb;2038.777806409841;3375.328383859197;2056.8770884207156;3307.5676042195714
pr08;man;bachelor;enviar;final;a;verb;2378.1864178583364;3449.656172440552;2383.5835527144236;3439.486718106415
pr08;man;bachelor;largas;internal ;a;adjective;2063.835321554384;3239.0690173098014;2056.348674874988;3252.7005237981766
pr08;man;bachelor;descargando;internal ;a;verb;1975.8785796136003;3184.784015593868;1997.602587760668;3048.3999913483412
pr08;man;bachelor;mejor;final;o;adjective;2637.9529337479735;4096.727087183555;2143.930536164735;3326.0411972747365
pr09;man;bachelor;york ;final;o;noun;1765.337866579572;3517.245709413576;1777.7016953770326;3458.5626302847627
pr09;man;bachelor;puerto;internal ;e;noun;2862.3071233318283;3717.1651969726136;2767.723581862072;3671.010153574775
